id,name,category,cas,application,stock,description,packaging,fullDescription,specifications
1,لاصق حراري متميز 5100,المواد اللاصقة الحرارية,25068-38-6,"التعبئة والتغليف، تجليد الكتب",متوفر,لاصق حراري عالي الأداء مثالي لتطبيقات التعبئة وتجليد الكتب,أكياس 25 كجم,"لاصق حراري متميز 5100 هو لاصق بلاستيكي حراري متعدد الاستخدامات يوفر قوة ربط ممتازة ومقاومة عالية للحرارة. مثالي لخطوط التعبئة عالية السرعة وعمليات تجليد الكتب.","{""meltingPoint"":""120-130°C"",""viscosity"":""5000 cPs عند 160°C"",""color"":""أصفر فاتح"",""shelfLife"":""12 شهر""}"
2,ألترا بوند HM-200,المواد اللاصقة الحرارية,9003-11-6,"تجميع الخشب، الأثاث",متوفر,التصاق فائق لتطبيقات الخشب والأثاث,كرتون 20 كجم,"ألترا بوند HM-200 يوفر ربطاً استثنائياً لتجميع الخشب مع وقت ضبط سريع ومقاومة ممتازة للحرارة. مثالي لتصنيع الأثاث والنجارة.","{""meltingPoint"":""140-150°C"",""viscosity"":""8000 cPs عند 170°C"",""color"":""عنبري"",""shelfLife"":""18 شهر""}"
3,لاصق سريع 3000,المواد اللاصقة الحرارية,9003-07-0,"المنسوجات، السيارات",متوفر,لاصق سريع الضبط للاستخدام في المنسوجات والسيارات,براميل 15 كجم,"لاصق سريع 3000 يوفر ربطاً سريعاً مع مرونة ممتازة. مثالي لتصفيح المنسوجات وتجميع الأجزاء الداخلية للسيارات.","{""meltingPoint"":""110-120°C"",""viscosity"":""6500 cPs عند 150°C"",""color"":""شفاف"",""shelfLife"":""24 شهر""}"
4,لاصق صناعي محترف,المواد اللاصقة الحرارية,25085-50-1,"الإلكترونيات، الصناعة العامة",متوفر,لاصق حراري احترافي للتطبيقات الصناعية,صناديق 30 كجم,"لاصق صناعي محترف يقدم أداءً متسقاً في البيئات الصناعية الصعبة. ممتاز لتجميع الإلكترونيات والتصنيع العام.","{""meltingPoint"":""135-145°C"",""viscosity"":""7200 cPs عند 165°C"",""color"":""أبيض"",""shelfLife"":""12 شهر""}"
5,ماستر التعبئة HM,المواد اللاصقة الحرارية,9005-25-8,"إغلاق الكرتون، إغلاق العلب",متوفر,لاصق متخصص لإغلاق الكرتون والعلب,أكياس 25 كجم,"ماستر التعبئة HM مصمم لخطوط التعبئة عالية السرعة مع إمساك فائق ومقاومة ممتازة للحرارة لإغلاق الكرتون بشكل آمن.","{""meltingPoint"":""125-135°C"",""viscosity"":""5500 cPs عند 155°C"",""color"":""شفاف"",""shelfLife"":""18 شهر""}"
6,فليكس بوند HM-400,المواد اللاصقة الحرارية,9003-29-6,"التعبئة المرنة، الملصقات",متوفر,حل ربط مرن للتعبئة والملصقات,كرتون 20 كجم,"فليكس بوند HM-400 يوفر مرونة ممتازة ومقاومة للبرودة. مثالي للتعبئة المرنة وتطبيقات الملصقات الحساسة للضغط.","{""meltingPoint"":""100-110°C"",""viscosity"":""4500 cPs عند 140°C"",""color"":""شفاف"",""shelfLife"":""24 شهر""}"
7,لاصق عالي الحرارة 600,المواد اللاصقة الحرارية,9011-14-7,تطبيقات درجات الحرارة العالية,متوفر,لاصق مقاوم للحرارة للظروف القاسية,براميل 15 كجم,"لاصق عالي الحرارة 600 يحافظ على سلامة الربط في درجات الحرارة المرتفعة. مثالي للتطبيقات التي تتطلب مقاومة فائقة للحرارة.","{""meltingPoint"":""160-170°C"",""viscosity"":""9000 cPs عند 180°C"",""color"":""بني"",""shelfLife"":""12 شهر""}"
8,راتنج شفاف كريستال R100,الراتنجات المشبعة,25212-86-6,"الطلاءات، الأحبار",متوفر,راتنج شفاف متميز لتطبيقات الطلاء,براميل 200 كجم,"راتنج شفاف كريستال R100 يوفر شفافية استثنائية ومقاومة للأشعة فوق البنفسجية. مثالي للطلاءات عالية اللمعان وأحبار الطباعة.","{""softeningPoint"":""95-105°C"",""acidValue"":""<5 mg KOH/g"",""color"":""شفاف كالماء"",""viscosity"":""300 cPs عند 25°C""}"
9,راتنج ألترا جلوس 250,الراتنجات المشبعة,68002-20-0,"طلاءات السيارات، الدهانات الصناعية",متوفر,راتنج عالي اللمعان للطلاءات المتميزة,براميل 180 كجم,"راتنج ألترا جلوس 250 يقدم لمعاناً ومتانة استثنائية. مثالي لأنظمة الطلاء للسيارات والصناعية.","{""softeningPoint"":""110-120°C"",""acidValue"":""<3 mg KOH/g"",""color"":""أصفر فاتح"",""viscosity"":""450 cPs عند 25°C""}"
10,راتنج فليكس كوت FC-300,الراتنجات المشبعة,68410-23-1,"الطلاءات المرنة، اللواصق",متوفر,راتنج مرن لتركيبات الطلاء واللواصق,براميل 150 كجم,"راتنج فليكس كوت FC-300 يوفر مرونة ممتازة والتصاقاً. مثالي لأنظمة الطلاء المرنة وتركيبات اللواصق.","{""softeningPoint"":""85-95°C"",""acidValue"":""<8 mg KOH/g"",""color"":""أصفر شاحب"",""viscosity"":""250 cPs عند 25°C""}"
