id,name,category,cas,application,stock,description,packaging,fullDescription,specifications
1,Premium Hot Melt 5100,Hot Melt Adhesives,25068-38-6,"Packaging, Bookbinding",In Stock,High-performance hot melt adhesive ideal for packaging and bookbinding applications,25kg bags,"Premium Hot Melt 5100 is a versatile thermoplastic adhesive offering excellent bond strength and heat resistance. Perfect for high-speed packaging lines and bookbinding operations.","{""meltingPoint"":""120-130°C"",""viscosity"":""5000 cPs at 160°C"",""color"":""Light Yellow"",""shelfLife"":""12 months""}"
2,Ultra Bond HM-200,Hot Melt Adhesives,9003-11-6,"Wood Assembly, Furniture",In Stock,Superior adhesion for wood and furniture applications,20kg cartons,"Ultra Bond HM-200 provides exceptional bonding for wood assembly with fast setting time and excellent heat resistance. Ideal for furniture manufacturing and carpentry.","{""meltingPoint"":""140-150°C"",""viscosity"":""8000 cPs at 170°C"",""color"":""Amber"",""shelfLife"":""18 months""}"
3,FastSet Adhesive 3000,Hot Melt Adhesives,9003-07-0,"Textiles, Automotive",In Stock,Quick-setting adhesive for textile and automotive use,15kg drums,"FastSet Adhesive 3000 offers rapid bonding with excellent flexibility. Perfect for textile lamination and automotive interior assembly.","{""meltingPoint"":""110-120°C"",""viscosity"":""6500 cPs at 150°C"",""color"":""Clear"",""shelfLife"":""24 months""}"
4,Industrial HM Pro,Hot Melt Adhesives,25085-50-1,"Electronics, General Industrial",In Stock,Professional-grade hot melt for industrial applications,30kg boxes,"Industrial HM Pro delivers consistent performance in demanding industrial environments. Excellent for electronics assembly and general manufacturing.","{""meltingPoint"":""135-145°C"",""viscosity"":""7200 cPs at 165°C"",""color"":""White"",""shelfLife"":""12 months""}"
5,Packaging Master HM,Hot Melt Adhesives,9005-25-8,"Carton Sealing, Case Sealing",In Stock,Specialized adhesive for carton and case sealing,25kg bags,"Packaging Master HM is engineered for high-speed packaging lines with superior grab and excellent heat resistance for secure carton sealing.","{""meltingPoint"":""125-135°C"",""viscosity"":""5500 cPs at 155°C"",""color"":""Translucent"",""shelfLife"":""18 months""}"
6,FlexBond HM-400,Hot Melt Adhesives,9003-29-6,"Flexible Packaging, Labels",In Stock,Flexible bonding solution for packaging and labels,20kg cartons,"FlexBond HM-400 provides excellent flexibility and cold resistance. Ideal for flexible packaging and pressure-sensitive label applications.","{""meltingPoint"":""100-110°C"",""viscosity"":""4500 cPs at 140°C"",""color"":""Clear"",""shelfLife"":""24 months""}"
7,HighTemp Adhesive 600,Hot Melt Adhesives,9011-14-7,"High Temperature Applications",In Stock,Heat-resistant adhesive for extreme conditions,15kg drums,"HighTemp Adhesive 600 maintains bond integrity at elevated temperatures. Perfect for applications requiring superior heat resistance.","{""meltingPoint"":""160-170°C"",""viscosity"":""9000 cPs at 180°C"",""color"":""Brown"",""shelfLife"":""12 months""}"
8,Crystal Clear Resin R100,Saturated Resins,25212-86-6,"Coatings, Inks",In Stock,Premium transparent resin for coating applications,200kg drums,"Crystal Clear Resin R100 offers exceptional clarity and UV resistance. Perfect for high-gloss coatings and printing inks.","{""softeningPoint"":""95-105°C"",""acidValue"":""<5 mg KOH/g"",""color"":""Water Clear"",""viscosity"":""300 cPs at 25°C""}"
9,UltraGloss Resin 250,Saturated Resins,68002-20-0,"Automotive Coatings, Industrial Paints",In Stock,High-gloss resin for premium coatings,180kg drums,"UltraGloss Resin 250 delivers outstanding gloss and durability. Ideal for automotive and industrial coating systems.","{""softeningPoint"":""110-120°C"",""acidValue"":""<3 mg KOH/g"",""color"":""Light Yellow"",""viscosity"":""450 cPs at 25°C""}"
10,FlexCoat Resin FC-300,Saturated Resins,68410-23-1,"Flexible Coatings, Adhesives",In Stock,Flexible resin for coating and adhesive formulations,150kg drums,"FlexCoat Resin FC-300 provides excellent flexibility and adhesion. Perfect for flexible coating systems and adhesive formulations.","{""softeningPoint"":""85-95°C"",""acidValue"":""<8 mg KOH/g"",""color"":""Pale Yellow"",""viscosity"":""250 cPs at 25°C""}"
11,Marine Grade Resin MG-400,Saturated Resins,64742-16-1,"Marine Coatings, Corrosion Protection",In Stock,Corrosion-resistant resin for marine applications,200kg drums,"Marine Grade Resin MG-400 offers superior corrosion resistance and water resistance. Ideal for marine coatings and protective systems.","{""softeningPoint"":""100-110°C"",""acidValue"":""<4 mg KOH/g"",""color"":""Amber"",""viscosity"":""380 cPs at 25°C""}"
12,EcoResin E-500,Saturated Resins,68425-17-2,"Eco-Friendly Coatings, Low VOC",In Stock,Environmentally friendly resin for sustainable coatings,175kg drums,"EcoResin E-500 is a low VOC solution for eco-conscious applications. Perfect for sustainable coating formulations.","{""softeningPoint"":""90-100°C"",""acidValue"":""<6 mg KOH/g"",""color"":""Clear"",""viscosity"":""320 cPs at 25°C""}"
13,Powder Coat Resin PC-600,Saturated Resins,25191-48-4,"Powder Coatings, Metal Finishing",In Stock,Specialized resin for powder coating systems,160kg drums,"Powder Coat Resin PC-600 delivers excellent flow and leveling in powder coating applications. Ideal for metal finishing.","{""softeningPoint"":""115-125°C"",""acidValue"":""<2 mg KOH/g"",""color"":""White"",""viscosity"":""N/A""}"
