id,name,category,cas,application,stock,description,packaging,fullDescription,specifications
1,EVA Hot Melt Adhesive,Hot Melt Adhesives,24937-78-8,PACKAGING,IN STOCK,Excellent bonding strength for packaging applications with fast setting time and superior adhesion to various substrates.,25kg Bag; 1000kg IBC,EVA (Ethylene Vinyl Acetate) Hot Melt Adhesive offers outstanding performance in high-speed packaging lines. This thermoplastic adhesive provides excellent initial tack and fast setting speed.,"{""softening_point"": ""85-95°C"", ""viscosity"": ""2000-4000 cps @ 150°C"", ""color"": ""Light Yellow"", ""open_time"": ""8-12 seconds""}"
2,Pressure Sensitive Adhesive,Hot Melt Adhesives,9003-01-4,FOOD INDUSTRY,7 DAY LEAD,FDA compliant adhesive for food packaging with excellent tack and peel strength.,20kg Drum; 200kg Drum,Premium pressure sensitive adhesive designed specifically for food contact applications. Meets FDA 21 CFR 175.105 requirements for indirect food contact.,"{""tack"": ""High"", ""peel_adhesion"": ""12-15 N/25mm"", ""service_temperature"": ""-20°C to +70°C"", ""compliance"": ""FDA 21 CFR 175.105""}"
3,Polyamide Hot Melt,Hot Melt Adhesives,63428-84-2,PACKAGING,IN STOCK,High performance adhesive with excellent heat resistance and chemical resistance for demanding applications.,25kg Bag; 200L Drum,Polyamide-based hot melt adhesive ideal for applications requiring superior heat and chemical resistance. Perfect for automotive and industrial bonding.,"{""melting_point"": ""120-130°C"", ""viscosity"": ""8000-12000 cps @ 180°C"", ""color"": ""Amber"", ""bond_strength"": ""High""}"
4,Metallocene Hot Melt,Hot Melt Adhesives,25087-34-7,PACKAGING,IN STOCK,Advanced metallocene technology for superior clarity and adhesion on difficult substrates.,25kg Box; IBC,Next-generation hot melt adhesive using metallocene polyolefin technology. Offers exceptional clarity and performance on LDPE and polypropylene substrates.,"{""softening_point"": ""95-105°C"", ""viscosity"": ""3500-5500 cps @ 160°C"", ""color"": ""Clear"", ""clarity"": ""Excellent""}"
5,PSA Tape Grade,Hot Melt Adhesives,9003-07-0,PACKAGING,BACKORDER,Specially formulated for tape manufacturing with controlled tack and cohesion.,200L Drum; 1000L IBC,Professional grade pressure sensitive adhesive optimized for tape converting applications. Balanced tack and cohesion for various tape constructions.,"{""tack"": ""Medium-High"", ""viscosity"": ""25000-35000 cps @ 160°C"", ""peel_adhesion"": ""8-12 N/25mm"", ""shear_strength"": ""48+ hours""}"
6,Bookbinding Hot Melt,Hot Melt Adhesives,9003-29-6,PACKAGING,IN STOCK,Flexible spine adhesive for perfect binding applications with excellent page pull strength.,25kg Bag; 200L Drum,Specialized hot melt adhesive for book manufacturing. Provides durable yet flexible spine bonds with excellent page pull and aging resistance.,"{""softening_point"": ""80-90°C"", ""viscosity"": ""5000-7000 cps @ 160°C"", ""flexibility"": ""Excellent"", ""page_pull"": ""High""}"
7,EVA Copolymer Resin,Hot Melt Adhesives,24937-78-8,PACKAGING,7 DAY LEAD,High VA content copolymer for superior flexibility and low temperature performance.,25kg Bag; Super Sack,EVA copolymer resin with high vinyl acetate content. Excellent for formulating flexible adhesives and coatings with enhanced low temperature properties.,"{""va_content"": ""18-28%"", ""melt_index"": ""6-25 g/10min"", ""density"": ""0.93-0.95 g/cm³"", ""vicat_softening"": ""45-65°C""}"
8,Alkyd Resin - Short Oil,Saturated Resins,63148-69-6,COATINGS,IN STOCK,Superior gloss and flexibility for industrial coatings with excellent drying properties.,200L Drum; IBC,Short oil alkyd resin optimized for industrial coating applications. Provides excellent gloss retention and fast drying times.,"{""oil_length"": ""35-40%"", ""solid_content"": ""60-65%"", ""viscosity"": ""W-Z (Gardner-Holdt)"", ""acid_value"": ""8-12 mg KOH/g""}"
9,Polyester Resin,Saturated Resins,25038-59-9,COATINGS,IN STOCK,Excellent chemical and weather resistance for powder coatings and liquid finishes.,180kg Drum; IBC,High-performance saturated polyester resin designed for demanding coating applications. Outstanding chemical resistance and weather durability.,"{""hydroxyl_value"": ""25-35 mg KOH/g"", ""acid_value"": ""< 5 mg KOH/g"", ""tg"": ""55-60°C"", ""viscosity"": ""3000-5000 cps @ 200°C""}"
10,Acrylic Resin Solution,Saturated Resins,9003-01-4,COATINGS,IN STOCK,Fast drying acrylic resin for architectural and automotive coatings with excellent UV resistance.,200L Drum; 1000L IBC,Premium acrylic resin solution offering exceptional clarity and UV resistance. Ideal for high-performance automotive and architectural coatings.,"{""solid_content"": ""50-55%"", ""viscosity"": ""2000-4000 cps"", ""acid_value"": ""< 10 mg KOH/g"", ""tg"": ""40-50°C""}"
11,Epoxy Resin,Saturated Resins,25068-38-6,COATINGS,7 DAY LEAD,Two-component epoxy system for high performance industrial coatings and adhesives.,25kg Drum; 200kg Drum,High molecular weight epoxy resin for formulating durable industrial coatings. Excellent chemical resistance and mechanical properties.,"{""epoxy_equivalent"": ""450-550 g/eq"", ""viscosity"": ""10000-16000 cps @ 25°C"", ""color"": ""Clear to Pale Yellow"", ""density"": ""1.16-1.18 g/cm³""}"
12,Polyurethane Resin,Saturated Resins,9009-54-5,COATINGS,IN STOCK,Flexible polyurethane resin for elastomeric coatings with excellent abrasion resistance.,200L Drum; IBC,Polyurethane resin system for high-performance flexible coatings. Superior abrasion and impact resistance for demanding applications.,"{""solid_content"": ""75-80%"", ""viscosity"": ""8000-12000 cps"", ""elongation"": ""300-500%"", ""hardness"": ""Shore A 70-85""}"
13,Hydrocarbon Resin,Saturated Resins,64742-16-1,COATINGS,IN STOCK,Tackifying resin for adhesives and coatings with excellent compatibility.,25kg Bag; Super Sack,Aliphatic hydrocarbon resin providing excellent tackification for hot melt and pressure sensitive adhesive formulations.,"{""softening_point"": ""95-105°C"", ""color"": ""Gardner 1-3"", ""molecular_weight"": ""900-1100"", ""acid_value"": ""< 1 mg KOH/g""}"
14,Rosin Ester,Saturated Resins,8050-15-5,COATINGS,BACKORDER,Natural based tackifier with excellent initial tack for adhesive formulations.,200kg Drum,Modified rosin ester resin offering excellent tack and adhesion properties. Natural-based tackifier for environmentally conscious formulations.,"{""softening_point"": ""80-90°C"", ""acid_value"": ""8-15 mg KOH/g"", ""color"": ""Gardner 3-5"", ""density"": ""1.05-1.08 g/cm³""}"
15,Titanium Dioxide Pigment,Industrial Pigments,13463-67-7,COATINGS,BACKORDER,High opacity white pigment for paints and coatings with excellent hiding power.,25kg Bag; 1000kg Super Sack,Premium grade rutile titanium dioxide pigment offering superior opacity and brightness. Treated for optimal dispersion in various coating systems.,"{""tio2_content"": ""≥ 93%"", ""brightness"": ""≥ 97%"", ""oil_absorption"": ""15-20 g/100g"", ""ph"": ""6.5-8.0""}"
16,Iron Oxide Red,Industrial Pigments,1309-37-1,COATINGS,IN STOCK,Synthetic iron oxide red pigment with excellent lightfastness and weather resistance.,25kg Bag; Super Sack,High-quality synthetic iron oxide red pigment for architectural and industrial coatings. Superior color consistency and durability.,"{""fe2o3_content"": ""≥ 96%"", ""oil_absorption"": ""20-30 g/100g"", ""color_index"": ""PR 101"", ""particle_size"": ""0.3-0.5 μm""}"
17,Carbon Black,Industrial Pigments,1333-86-4,COATINGS,IN STOCK,High tinting strength carbon black for coatings and plastics with excellent UV protection.,15kg Bag; 500kg Super Sack,Premium furnace carbon black with exceptional tinting strength and UV protection properties. Ideal for automotive and industrial coatings.,"{""iodine_number"": ""40-50 mg/g"", ""oil_absorption"": ""90-110 ml/100g"", ""particle_size"": ""25-35 nm"", ""ash_content"": ""< 0.5%""}"
18,Chrome Yellow,Industrial Pigments,1344-37-2,COATINGS,7 DAY LEAD,Bright yellow pigment for industrial coatings with excellent hiding power.,25kg Drum,Lead chromate yellow pigment providing brilliant yellow shades for industrial applications. Excellent opacity and chemical resistance.,"{""pbo_content"": ""35-40%"", ""cro4_content"": ""60-65%"", ""oil_absorption"": ""15-20 g/100g"", ""color_index"": ""PY 34""}"
19,Phthalocyanine Blue,Industrial Pigments,147-14-8,COATINGS,IN STOCK,High performance organic blue pigment with excellent lightfastness and color strength.,20kg Box; 400kg Drum,Copper phthalocyanine blue pigment offering exceptional color strength and lightfastness. Premium grade for automotive and industrial coatings.,"{""copper_content"": ""14-16%"", ""color_strength"": ""≥ 100%"", ""color_index"": ""PB 15:3"", ""particle_size"": ""< 0.1 μm""}"
20,Ultramarine Blue,Industrial Pigments,57455-37-5,COATINGS,IN STOCK,Inorganic blue pigment with excellent heat stability and pH resistance.,25kg Bag; Super Sack,Synthetic ultramarine blue pigment providing bright blue shades with excellent heat and alkaline resistance. Ideal for architectural coatings.,"{""sulfur_content"": ""8-12%"", ""oil_absorption"": ""30-40 g/100g"", ""color_index"": ""PB 29"", ""heat_stability"": ""> 300°C""}"
